Name,latitude,longitude,Phylum
Insecta,28.665,84.09,Arthropoda
Insecta,28.665,84.09,Arthropoda
Insecta,28.665,84.09,Arthropoda
Insecta,29.198,82.31,Arthropoda
Insecta,29.198,82.31,Arthropoda
Insecta,29.198,82.31,Arthropoda
Insecta,29.198,82.31,Arthropoda
Insecta,27.608,83.7426,Arthropoda
Magnoliopsida,27.5909,83.7209,Arthropoda
Magnoliopsida,27.5909,83.7209,Magnoliophyta
Magnoliopsida,27.5909,83.7209,Magnoliophyta
Liliopsida,27.243,87.481,Magnoliophyta
Magnoliopsida,27.319,87.496,Magnoliophyta
Magnoliopsida,27.482,87.465,Magnoliophyta
Liliopsida,27.196,87.462,Magnoliophyta
Liliopsida,27.384,87.457,Magnoliophyta
Liliopsida,27.504,87.458,Magnoliophyta
Liliopsida,28.612,83.022,Magnoliophyta
Liliopsida,28.612,83.022,Magnoliophyta
Liliopsida,28.612,83.022,Magnoliophyta
Liliopsida,28.612,83.022,Magnoliophyta
Liliopsida,28.612,83.022,Magnoliophyta
Liliopsida,28.612,83.022,Magnoliophyta
Arachnida,28.612,83.022,Magnoliophyta
Arachnida,29.1805,82.6331,Arthropoda
Malacostraca,29.526,82.2953,Arthropoda
Magnoliopsida,26.938,87.003,Arthropoda
Insecta,26.938,87.003,Magnoliophyta
Insecta,26.938,87.003,Arthropoda
Actinopterygii,26.938,87.003,Arthropoda
Insecta,26.938,87.003,Chordata
Insecta,26.938,87.003,Arthropoda
Magnoliopsida,26.938,87.003,Arthropoda
Haplomitriopsida,26.938,87.003,Magnoliophyta
Magnoliopsida,26.938,87.003,Marchantiophyta
Insecta,26.938,87.003,Magnoliophyta
Insecta,27.71,85.31,Arthropoda
Insecta,27.7,85.33,Arthropoda
Insecta,28.4,83.6833,Arthropoda
Insecta,27.7,86.7,Arthropoda
Insecta,28.071,85.1057,Arthropoda
Insecta,28.4833,84.0167,Arthropoda
Insecta,28.4833,84.0167,Arthropoda
Insecta,28.4833,84.0167,Arthropoda
Insecta,28.4833,84.0167,Arthropoda
Insecta,28.073,85.117,Arthropoda
Insecta,27.5667,86.35,Arthropoda
Insecta,27.5667,86.35,Arthropoda
Insecta,27.6438,85.485,Arthropoda
Insecta,27.6438,85.485,Arthropoda
Insecta,27.0167,86.85,Arthropoda
Insecta,29,82.4,Arthropoda
Insecta,29.25,82.25,Arthropoda
Insecta,29.25,82.25,Arthropoda
Insecta,29.25,82.25,Arthropoda
Insecta,29.25,82.25,Arthropoda
Insecta,29.25,82.25,Arthropoda
Insecta,29.25,82.25,Arthropoda
Insecta,27.6667,85.4167,Arthropoda
Insecta,27.6,85.4,Arthropoda
Insecta,27.6,85.4,Arthropoda
Insecta,27.6,85.4,Arthropoda
Insecta,28.08,85.17,Arthropoda
Insecta,28.08,85.17,Arthropoda
Insecta,28.08,85.17,Arthropoda
Insecta,27.75,87.16,Arthropoda
Insecta,27.75,87.16,Arthropoda
Insecta,27.5996,83.7273,Arthropoda
Insecta,27.5942,83.7124,Arthropoda
Insecta,27.5909,83.7209,Arthropoda
Insecta,27.5909,83.7209,Arthropoda
Malacostraca,27.5909,83.7209,Arthropoda
Malacostraca,26.94,85.024,Arthropoda
Malacostraca,26.94,85.024,Arthropoda
Malacostraca,28.927,83.507,Arthropoda
Insecta,28.927,83.507,Arthropoda
Magnoliopsida,28.927,83.507,Arthropoda
Magnoliopsida,28.927,83.507,Magnoliophyta
Magnoliopsida,28.927,83.507,Magnoliophyta
Liliopsida,28.927,83.507,Magnoliophyta
Liliopsida,28.927,83.507,Magnoliophyta
Gastropoda,28.927,83.507,Magnoliophyta
Gastropoda,28.927,83.507,Mollusca
Gastropoda,28.927,83.507,Mollusca
Gastropoda,28.927,83.507,Mollusca
Gastropoda,28.927,83.507,Mollusca
Bivalvia,28.927,83.507,Mollusca
Actinopterygii,28.927,83.507,Mollusca
Actinopterygii,28.927,83.507,Chordata
Actinopterygii,28.927,83.507,Chordata
Actinopterygii,28.5408,81.1734,Chordata
Actinopterygii,28.3599,81.2128,Chordata
Actinopterygii,28.3688,81.2047,Chordata
Actinopterygii,28.3688,81.2047,Chordata
Insecta,28.3599,81.2128,Chordata
Insecta,28.3599,81.2128,Arthropoda
Insecta,28.3599,81.2128,Arthropoda
Insecta,28.3599,81.2128,Arthropoda
Insecta,28.3599,81.2128,Arthropoda
Insecta,28.3599,81.2128,Arthropoda
Insecta,28.3599,81.2128,Arthropoda
Bivalvia,28.3599,81.2128,Arthropoda
Gastropoda,28.3599,81.2128,Mollusca
Trematoda,27.453,87.7063,Mollusca
Trematoda,27.4353,87.7063,Platyhelminthes
Trematoda,27.4253,87.7063,Platyhelminthes
Trematoda,27.42153,87.7063,Platyhelminthes
Trematoda,27.4253,87.427063,Platyhelminthes
Trematoda,27.24153,87.71063,Platyhelminthes
Trematoda,27.4453,87.712063,Platyhelminthes
Trematoda,27.42153,87.72063,Platyhelminthes
Trematoda,27.4253,87.74063,Platyhelminthes
Magnoliopsida,27.42153,87.74063,Platyhelminthes
Magnoliopsida,27.4153,87.7063,Magnoliophyta
Magnoliopsida,27.4253,87.7063,Magnoliophyta
Magnoliopsida,27.2453,87.7063,Magnoliophyta
Magnoliopsida,27.1453,87.7063,Magnoliophyta
Magnoliopsida,27.4153,87.7063,Magnoliophyta
Magnoliopsida,27.4153,87.7063,Magnoliophyta
Magnoliopsida,27.43153,87.7063,Magnoliophyta
Magnoliopsida,27.41253,87.7063,Magnoliophyta
Magnoliopsida,27.4353,87.7063,Magnoliophyta
Bryopsida,27.44253,87.7063,Magnoliophyta
Bryopsida,27.4513,87.7063,Bryophyta
Insecta,27.453,87.7063,Bryophyta
Insecta,27.12,87.27,Arthropoda
Insecta,28.32297,83.8185,Arthropoda
Insecta,28.21297,83.8185,Arthropoda
Insecta,28.21297,83.8185,Arthropoda
Insecta,27.79,85.2714,Arthropoda
Insecta,27.7167,83.05,Arthropoda
Insecta,27.7167,83.05,Arthropoda
Insecta,27.7167,83.05,Arthropoda
Insecta,27.7167,83.05,Arthropoda
Insecta,27.7167,83.05,Arthropoda
Insecta,27.7167,83.05,Arthropoda
Reptilia,29.4667,82.1,Arthropoda
Insecta,29.4667,82.1,Chordata
Insecta,27.5888,83.7149,Arthropoda
Insecta,27.5888,83.7149,Arthropoda
Insecta,27.9491,84.396,Arthropoda
Magnoliopsida,27.5909,83.7209,Arthropoda
Liliopsida,27.497,87.466,Magnoliophyta
Liliopsida,27.18,87.435,Magnoliophyta
Arachnida,27.18,87.435,Magnoliophyta
Insecta,28.5771,82.2132,Arthropoda
Insecta,28.5771,82.2132,Arthropoda
Aves,28.5771,84.01,Arthropoda
Aves,28.5771,84.01,Chordata
Magnoliopsida,28.664,84.01,Chordata
Bivalvia,28.664,84.01,Magnoliophyta
Insecta,28.664,84.01,Mollusca
Insecta,28.664,84.01,Arthropoda
Insecta,28.664,84.01,Arthropoda
Insecta,28.664,84.01,Arthropoda
Insecta,28.664,84.01,Arthropoda
Gastropoda,28.664,84.01,Arthropoda
Gastropoda,28.664,84.01,Mollusca
Gastropoda,28.664,84.01,Mollusca
Insecta,28.664,84.01,Mollusca
Actinopterygii,28.664,84.01,Arthropoda
Actinopterygii,29.0451,81.4443,Chordata
Actinopterygii,28.6998,81.2732,Chordata
Insecta,28.5535,81.2766,Chordata
Insecta,28.5535,81.2766,Arthropoda
Insecta,28.5535,81.2766,Arthropoda
Insecta,28.5535,81.2766,Arthropoda
Insecta,28.5535,81.2766,Arthropoda
Bivalvia,28.5535,81.2766,Arthropoda
Gastropoda,28.5535,81.2766,Mollusca
Trematoda,28.043,81.6097,Mollusca
Trematoda,28.043,81.6097,Platyhelminthes
Trematoda,28.043,81.6097,Platyhelminthes
Trematoda,28.043,81.6097,Platyhelminthes
Trematoda,28.043,81.6097,Platyhelminthes
Trematoda,28.043,81.6097,Platyhelminthes
Lecanoromycetes,27.5812,84.4823,Platyhelminthes
Magnoliopsida,27.35812,84.4823,Ascomycota
Magnoliopsida,27.25812,84.4823,Magnoliophyta
Magnoliopsida,27.125812,84.4823,Magnoliophyta
Magnoliopsida,27.52812,84.4823,Magnoliophyta
